State,City,Population1,Murder,Forcible rape,Robbery,Aggravated assault,Burglary,"Larceny-theft","Motor vehicle theft",Arson2
VIRGINIA,HAMPTON,139078,9,19,155,167,820,4180,273,31
VIRGINIA,NEWPORT NEWS,182878,15,52,388,390,1094,4592,355,84
VIRGINIA,NORFOLK,245704,29,81,625,689,2256,9217,785,38
VIRGINIA,PORTSMOUTH,96676,12,46,235,257,1348,3623,266,11
VIRGINIA,RICHMOND,206654,36,44,676,672,1886,5833,928,58
VIRGINIA,VIRGINIA BEACH,443226,15,60,412,289,2038,9645,450,133
WASHINGTON,BELLEVUE,124283,1,23,58,58,607,2775,157,25
WASHINGTON,EVERETT,104635,5,49,143,253,1163,5415,925,27
WASHINGTON,SEATTLE,618209,20,100,1418,2126,6807,21585,3400,84
WASHINGTON,SPOKANE,212194,4,84,484,732,3030,10231,1778,72
WASHINGTON,TACOMA,201510,11,125,446,925,2709,7228,2125,80
WASHINGTON,VANCOUVER,164329,9,102,185,337,950,4629,868,33
WISCONSIN,GREEN BAY3,104510,2,52,48,269,467,1852,101,7
WISCONSIN,MADISON3,234225,8,74,272,461,1439,6149,343,50
WISCONSIN,MILWAUKEE,597426,85,195,2936,2735,6626,18880,4531,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
